,datetime,cpu0,cpu1,cpu2,ram,data_download,data_upload,cpuavg,state
49,2022-10-20 11:07:33.143530,50.0,51.7,49.0,44.9,0.487543358,0.014669539,50.23333333333333,high
50,2022-10-20 11:07:35.266093,59.2,59.5,60.0,44.8,0.489686684,0.014677788,59.56666666666666,high
51,2022-10-20 11:07:38.543187,58.2,61.5,57.7,44.9,0.491676728,0.014682979,59.13333333333333,high
52,2022-10-20 11:07:40.649007,54.8,54.5,54.0,44.7,0.491676728,0.014682979,54.43333333333334,high
53,2022-10-20 11:07:42.760380,56.6,56.6,56.5,44.7,0.491678604,0.014685643,56.56666666666666,high
54,2022-10-20 11:07:45.598649,54.5,56.9,55.6,44.4,0.493616912,0.014693681,55.666666666666664,high
55,2022-10-20 11:07:47.878030,64.1,65.3,63.0,44.4,0.493616954,0.014693751,64.13333333333333,high
56,2022-10-20 11:07:50.032464,47.5,47.2,48.0,44.5,0.49413257,0.014695994,47.56666666666666,high
57,2022-10-20 11:07:52.190301,65.3,66.5,64.6,44.5,0.496289869,0.014701099,65.46666666666667,high
58,2022-10-20 11:07:54.969605,59.3,60.1,61.3,44.5,0.496293437,0.014712695,60.23333333333333,high
59,2022-10-20 11:07:57.139306,59.0,61.2,60.1,44.5,0.496647071,0.014717586,60.1,high
60,2022-10-20 11:07:59.268644,62.1,62.7,63.1,44.6,0.498820764,0.014722668,62.63333333333333,high
61,2022-10-20 11:08:01.482595,53.8,54.8,54.1,44.6,0.498823477,0.014722786,54.23333333333333,high
62,2022-10-20 11:08:03.670640,61.8,64.3,65.7,44.6,0.499366681,0.014724982,63.93333333333334,high
63,2022-10-20 11:08:05.839365,50.0,53.0,51.5,44.4,0.499368177,0.014724982,51.5,high
64,2022-10-20 11:08:08.013876,64.2,65.0,63.5,44.4,0.501096738,0.014733872,64.23333333333333,high
65,2022-10-20 11:08:10.490331,46.4,50.3,46.6,44.4,0.50109815,0.014733872,47.76666666666666,high
66,2022-10-20 11:08:12.584223,52.7,53.5,52.0,44.5,0.501098192,0.014733942,52.73333333333333,high
67,2022-10-20 11:08:14.740621,59.8,60.7,59.5,44.5,0.503080052,0.01474234,60.0,high
68,2022-10-20 11:08:16.891894,55.1,57.0,55.1,44.5,0.503082876,0.014747025,55.73333333333333,high
69,2022-10-20 11:08:18.998298,51.5,52.0,52.5,44.6,0.503632944,0.014752628,52.0,high
70,2022-10-20 11:08:21.153875,49.2,50.0,51.3,44.6,0.503637268,0.014759106,50.166666666666664,high
71,2022-10-20 11:08:23.635878,47.0,46.9,45.4,44.7,0.505208978,0.014765057,46.43333333333334,high
72,2022-10-20 11:08:26.087266,56.5,58.5,59.5,44.7,0.505210953,0.014768956,58.166666666666664,high
73,2022-10-20 11:08:28.235122,47.4,47.2,49.7,44.7,0.505210953,0.014769278,48.1,high
74,2022-10-20 11:08:30.327556,59.7,63.9,60.6,44.6,0.507157085,0.014774247,61.4,high
75,2022-10-20 11:08:32.545015,54.7,55.5,55.8,44.6,0.507157085,0.014774247,55.333333333333336,high
76,2022-10-20 11:08:34.712723,49.3,46.4,47.4,44.6,0.507158624,0.014780697,47.699999999999996,high
77,2022-10-20 11:08:36.858335,50.5,52.8,52.8,44.2,0.509567818,0.014791776,52.03333333333333,high
78,2022-10-20 11:08:38.939321,51.2,52.3,52.6,44.3,0.509567818,0.014791776,52.03333333333333,high
79,2022-10-20 11:08:41.106731,51.0,53.8,53.0,44.0,0.509568803,0.014791776,52.6,high
80,2022-10-20 11:08:43.323405,58.8,59.0,59.7,44.1,0.509569303,0.014791776,59.166666666666664,high
81,2022-10-20 11:08:45.492981,51.2,53.8,50.5,44.1,0.509952424,0.014793663,51.833333333333336,high
82,2022-10-20 11:08:47.677595,56.5,58.4,57.9,44.2,0.51158171,0.0148,57.6,high
83,2022-10-20 11:08:49.899078,45.7,46.2,44.9,44.2,0.511581752,0.01480007,45.6,high
84,2022-10-20 11:08:52.050190,47.5,48.3,48.2,44.2,0.511581752,0.01480007,48.0,high
85,2022-10-20 11:08:54.227124,47.3,48.5,46.4,44.2,0.511954326,0.014803938,47.4,high
86,2022-10-20 11:08:56.393860,52.5,54.5,53.3,44.1,0.513638909,0.014807254,53.43333333333334,high
87,2022-10-20 11:08:58.555447,47.2,47.9,48.2,44.1,0.513638909,0.014807254,47.76666666666667,high
88,2022-10-20 11:09:00.721721,43.6,47.5,46.7,44.1,0.513638951,0.014807528,45.93333333333334,high
89,2022-10-20 11:09:02.820116,50.5,51.5,50.5,44.1,0.513642408,0.014811337,50.833333333333336,high
90,2022-10-20 11:09:04.980361,51.0,52.7,50.5,44.2,0.513643793,0.01481501,51.4,high
91,2022-10-20 11:09:07.179070,44.7,47.3,47.0,44.2,0.513643925,0.014815128,46.333333333333336,high
92,2022-10-20 11:09:09.341302,46.2,48.0,46.0,44.3,0.513643925,0.014815332,46.73333333333333,high
93,2022-10-20 11:09:11.452241,48.8,50.7,49.7,44.3,0.516379654,0.014821865,49.73333333333333,high
94,2022-10-20 11:09:13.667886,45.2,47.0,45.4,44.4,0.516380112,0.014824504,45.86666666666667,high
95,2022-10-20 11:09:15.828526,43.7,44.3,43.9,44.4,0.516380388,0.014825192,43.96666666666667,high
96,2022-10-20 11:09:18.000160,45.2,48.5,45.2,44.2,0.516382195,0.014828655,46.300000000000004,high
97,2022-10-20 11:09:20.106073,52.5,52.5,51.0,44.2,0.516382405,0.014829109,52.0,high
98,2022-10-20 11:09:22.204884,53.3,54.3,52.5,44.2,0.516386454,0.014834566,53.36666666666667,high
99,2022-10-20 11:09:24.402980,45.0,45.2,44.4,44.3,0.51638658,0.01483477,44.86666666666667,high
100,2022-10-20 11:09:26.544098,45.4,49.0,47.0,44.3,0.516386622,0.01483477,47.13333333333333,high
